aelig,000c6
kjcy,0040c
kappa,0039a
kcedil,00136
kcy,0041a
kfr,1d50e
kopf,1d542
kscr,1d4a6
ljcy,00409
lt,0003c
lacute,00139
lambda,0039b
lang,027ea
laplacetrf,02112
larr,0219e
lcaron,0013d
lcedil,0013b
lcy,0041b
leftanglebracket,027e8
leftarrow,02190
leftarrowbar,021e4
leftarrowrightarrow,021c6
leftceiling,02308
leftdoublebracket,027e6
leftdownteevector,02961
leftdownvector,021c3
leftdownvectorbar,02959
leftfloor,0230a
leftrightarrow,02194
leftrightvector,0294e
lefttee,022a3
leftteearrow,021a4
leftteevector,0295a
lefttriangle,022b2
lefttrianglebar,029cf
lefttriangleequal,022b4
leftupdownvector,02951
leftupteevector,02960
leftupvector,021bf
leftupvectorbar,02958
leftvector,021bc
leftvectorbar,02952
leftarrow,021d0
leftrightarrow,021d4
lessequalgreater,022da
lessfullequal,02266
lessgreater,02276
lessless,02aa1
lessslantequal,02a7d
lesstilde,02272
lfr,1d50f
ll,022d8
lleftarrow,021da
lmidot,0013f
longleftarrow,027f5
longleftrightarrow,027f7
longrightarrow,027f6
longleftarrow,027f8
longleftrightarrow,027fa
longrightarrow,027f9
lopf,1d543
lowerleftarrow,02199
lowerrightarrow,02198
lscr,02112
lsh,021b0
lstrok,00141
lt,0226a
map,02905
mcy,0041c
mediumspace,0205f
mellintrf,02133
mfr,1d510
minusplus,02213
mopf,1d544
mscr,02133
mu,0039c
njcy,0040a
nacute,00143
ncaron,00147
ncedil,00145
ncy,0041d
negativemediumspace,0200b
negativethickspace,0200b
negativethinspace,0200b
negativeverythinspace,0200b
nestedgreatergreater,0226b
nestedlessless,0226a
newline,0000a
nfr,1d511
nobreak,02060
nonbreakingspace,000a0
nopf,02115
not,02aec
notcongruent,02262
notcupcap,0226d
notdoubleverticalbar,02226
notelement,02209
notequal,02260
notequaltilde,00338
notexists,02204
notgreater,0226f
notgreaterequal,02271
notgreaterfullequal,00338
notgreatergreater,00338
notgreaterless,02279
notgreaterslantequal,00338
notgreatertilde,02275
nothumpdownhump,00338
nothumpequal,00338
notlefttriangle,022ea
notlefttrianglebar,00338
notlefttriangleequal,022ec
notless,0226e
notlessequal,02270
notlessgreater,02278
notlessless,00338
notlessslantequal,00338
notlesstilde,02274
notnestedgreatergreater,00338
notnestedlessless,00338
notprecedes,02280
notprecedesequal,00338
notprecedesslantequal,022e0
notreverseelement,0220c
notrighttriangle,022eb
notrighttrianglebar,00338
notrighttriangleequal,022ed
notsquaresubset,00338
notsquaresubsetequal,022e2
notsquaresuperset,00338
notsquaresupersetequal,022e3
notsubset,020d2
notsubsetequal,02288
notsucceeds,02281
notsucceedsequal,00338
notsucceedsslantequal,022e1
notsucceedstilde,00338
notsuperset,020d2
notsupersetequal,02289
nottilde,02241
nottildeequal,02244
nottildefullequal,02247
nottildetilde,02249
notverticalbar,02224
nscr,1d4a9
ntilde,000d1
nu,0039d
oelig,00152
oacute,000d3
ocirc,000d4
ocy,0041e
odblac,00150
ofr,1d512
ograve,000d2
omacr,0014c
omega,003a9
omicron,0039f
oopf,1d546
opencurlydoublequote,0201c
opencurlyquote,02018
or,02a54
oscr,1d4aa
oslash,000d8
otilde,000d5
otimes,02a37
ouml,000d6
overbar,0203e
overbrace,023de
overbracket,023b4
overparenthesis,023dc
partiald,02202
pcy,0041f
pfr,1d513
phi,003a6
pi,003a0
plusminus,000b1
poincareplane,0210c
popf,02119
pr,02abb
precedes,0227a
precedesequal,02aaf
precedesslantequal,0227c
precedestilde,0227e
prime,02033
product,0220f
proportion,02237
proportional,0221d
pscr,1d4ab
psi,003a8
quot,00022
qfr,1d514
qopf,0211a
qscr,1d4ac
rbarr,02910
reg,000ae
racute,00154
rang,027eb
rarr,021a0
rarrtl,02916
rcaron,00158
rcedil,00156
rcy,00420
re,0211c
reverseelement,0220b
reverseequilibrium,021cb
reverseupequilibrium,0296f
rfr,0211c
rho,003a1
rightanglebracket,027e9
rightarrow,02192
rightarrowbar,021e5
rightarrowleftarrow,021c4
rightceiling,02309
rightdoublebracket,027e7
rightdownteevector,0295d
rightdownvector,021c2
rightdownvectorbar,02955
rightfloor,0230b
righttee,022a2
rightteearrow,021a6
rightteevector,0295b
righttriangle,022b3
righttrianglebar,029d0
righttriangleequal,022b5
rightupdownvector,0294f
rightupteevector,0295c
rightupvector,021be
rightupvectorbar,02954
rightvector,021c0
rightvectorbar,02953
rightarrow,021d2
ropf,0211d
roundimplies,02970
rrightarrow,021db
rscr,0211b
rsh,021b1
ruledelayed,029f4
shchcy,00429
shcy,00428
softcy,0042c
sacute,0015a
sc,02abc
scaron,00160
scedil,0015e
scirc,0015c
scy,00421
sfr,1d516
shortdownarrow,02193
shortleftarrow,02190
shortrightarrow,02192
shortuparrow,02191
sigma,003a3
smallcircle,02218
sopf,1d54a
sqrt,0221a
square,025a1
squareintersection,02293
squaresubset,0228f
squaresubsetequal,02291
squaresuperset,02290
squaresupersetequal,02292
squareunion,02294
sscr,1d4ae
star,022c6
sub,022d0
subset,022d0
subsetequal,02286
succeeds,0227b
succeedsequal,02ab0
succeedsslantequal,0227d
succeedstilde,0227f
suchthat,0220b
sum,02211
sup,022d1
superset,02283
supersetequal,02287
supset,022d1
thorn,000de
trade,02122
tshcy,0040b
tscy,00426
tab,00009
tau,003a4
tcaron,00164
tcedil,00162
tcy,00422
tfr,1d517
therefore,02234
theta,00398
thickspace,0200a
thinspace,02009
tilde,0223c
tildeequal,02243
tildefullequal,02245
tildetilde,02248
topf,1d54b
tripledot,020db
tscr,1d4af
tstrok,00166
uacute,000da
uarr,0219f
uarrocir,02949
ubrcy,0040e
ubreve,0016c
ucirc,000db
ucy,00423
udblac,00170
ufr,1d518
ugrave,000d9
umacr,0016a
underbar,0005f
underbrace,023df
underbracket,023b5
underparenthesis,023dd
union,022c3
unionplus,0228e
uogon,00172
uopf,1d54c
uparrow,02191
uparrowbar,02912
uparrowdownarrow,021c5
updownarrow,02195
upequilibrium,0296e
uptee,022a5
upteearrow,021a5
uparrow,021d1
updownarrow,021d5
upperleftarrow,02196
upperrightarrow,02197
upsi,003d2
upsilon,003a5
uring,0016e
uscr,1d4b0
utilde,00168
uuml,000dc
vdash,022ab
vbar,02aeb
vcy,00412
vdash,022a9
vdashl,02ae6
vee,022c1
verbar,02016
vert,02016
verticalbar,02223
verticalline,0007c
verticalseparator,02758
verticaltilde,02240
verythinspace,0200a
vfr,1d519
vopf,1d54d
vscr,1d4b1
vvdash,022aa
wcirc,00174
wedge,022c0
wfr,1d51a
wopf,1d54e
wscr,1d4b2
xfr,1d51b
xi,0039e
xopf,1d54f
xscr,1d4b3
yacy,0042f
yicy,00407
yucy,0042e
yacute,000dd
ycirc,00176
ycy,0042b
yfr,1d51c
yopf,1d550
yscr,1d4b4
yuml,00178
zhcy,00416
zacute,00179
zcaron,0017d
zcy,00417
zdot,0017b
zerowidthspace,0200b
zeta,00396
zfr,02128
zopf,02124
zscr,1d4b5
aacute,000e1
abreve,00103
ac,0223e
ace,00333
acd,0223f
acirc,000e2
acute,000b4
acy,00430
aelig,000e6
af,02061
afr,1d51e
agrave,000e0
alefsym,02135
aleph,02135
alpha,003b1
amacr,00101
amalg,02a3f
amp,00026
and,02227
andand,02a55
andd,02a5c
andslope,02a58
andv,02a5a
ang,02220
ange,029a4
angle,02220
angmsd,02221
angmsdaa,029a8
angmsdab,029a9
angmsdac,029aa
angmsdad,029ab
angmsdae,029ac
angmsdaf,029ad
angmsdag,029ae
angmsdah,029af
angrt,0221f
angrtvb,022be
angrtvbd,0299d
angsph,02222
angst,000c5
angzarr,0237c
aogon,00105
aopf,1d552
ap,02248
ape,02a70
apacir,02a6f
ape,0224a
apid,0224b
apos,00027
approx,02248
approxeq,0224a
aring,000e5
ascr,1d4b6
ast,0002a
asymp,02248
asympeq,0224d
atilde,000e3
auml,000e4
awconint,02233
awint,02a11
bnot,02aed
backcong,0224c
backepsilon,003f6
backprime,02035
backsim,0223d
backsimeq,022cd
barvee,022bd
barwed,02305
barwedge,02305
bbrk,023b5
bbrktbrk,023b6
bcong,0224c
bcy,00431
bdquo,0201e
becaus,02235
because,02235
bemptyv,029b0
bepsi,003f6
bernou,0212c
beta,003b2
beth,02136
between,0226c
bfr,1d51f
bigcap,022c2
bigcirc,025ef
bigcup,022c3
bigodot,02a00
bigoplus,02a01
bigotimes,02a02
bigsqcup,02a06
bigstar,02605
bigtriangledown,025bd
bigtriangleup,025b3
biguplus,02a04
bigvee,022c1
bigwedge,022c0
bkarow,0290d
blacklozenge,029eb
blacksquare,025aa
blacktriangle,025b4
blacktriangledown,025be
blacktriangleleft,025c2
blacktriangleright,025b8
blank,02423
blk12,02592
blk14,02591
blk34,02593
block,02588
bne,020e5
bnequiv,020e5
bnot,02310
bopf,1d553
bot,022a5
bottom,022a5
bowtie,022c8
boxdl,02557
boxdr,02554
boxdl,02556
boxdr,02553
boxh,02550
boxhd,02566
boxhu,02569
boxhd,02564
boxhu,02567
boxul,0255d
boxur,0255a
boxul,0255c
boxur,02559
boxv,02551
boxvh,0256c
boxvl,02563
boxvr,02560
boxvh,0256b
boxvl,02562
boxvr,0255f
boxbox,029c9
boxdl,02555
boxdr,02552
boxdl,02510
boxdr,0250c
boxh,02500
boxhd,02565
boxhu,02568
boxhd,0252c
boxhu,02534
boxminus,0229f
boxplus,0229e
boxtimes,022a0
boxul,0255b
boxur,02558
boxul,02518
boxur,02514
boxv,02502
boxvh,0256a
boxvl,02561
boxvr,0255e
boxvh,0253c
boxvl,02524
boxvr,0251c
bprime,02035
breve,002d8
brvbar,000a6
bscr,1d4b7
bsemi,0204f
bsim,0223d
bsime,022cd
bsol,0005c
bsolb,029c5
bsolhsub,027c8
bull,02022
bullet,02022
bump,0224e
bumpe,02aae
bumpe,0224f
bumpeq,0224f
cacute,00107
cap,02229
capand,02a44
capbrcup,02a49
capcap,02a4b
capcup,02a47
capdot,02a40
caps,0fe00
caret,02041
caron,002c7
ccaps,02a4d
ccaron,0010d
ccedil,000e7
ccirc,00109
ccups,02a4c
ccupssm,02a50
cdot,0010b
cedil,000b8
cemptyv,029b2
cent,000a2
centerdot,000b7
cfr,1d520
chcy,00447
check,02713
checkmark,02713
chi,003c7
cir,025cb
cire,029c3
circ,002c6
circeq,02257
circlearrowleft,021ba
circlearrowright,021bb
circledr,000ae
circleds,024c8
circledast,0229b
circledcirc,0229a
circleddash,0229d
cire,02257
cirfnint,02a10
cirmid,02aef
cirscir,029c2
clubs,02663
clubsuit,02663
colon,0003a
colone,02254
coloneq,02254
comma,0002c
commat,00040
comp,02201
compfn,02218
complement,02201
complexes,02102
cong,02245
congdot,02a6d
conint,0222e
copf,1d554
coprod,02210
copy,000a9
copysr,02117
crarr,021b5
cross,02717
cscr,1d4b8
csub,02acf
csube,02ad1
csup,02ad0
csupe,02ad2
ctdot,022ef
cudarrl,02938
cudarrr,02935
cuepr,022de
cuesc,022df
cularr,021b6
cularrp,0293d
cup,0222a
cupbrcap,02a48
cupcap,02a46
cupcup,02a4a
cupdot,0228d
cupor,02a45
cups,0fe00
curarr,021b7
curarrm,0293c
curlyeqprec,022de
curlyeqsucc,022df
curlyvee,022ce
curlywedge,022cf
curren,000a4
curvearrowleft,021b6
curvearrowright,021b7
cuvee,022ce
cuwed,022cf
cwconint,02232
cwint,02231
cylcty,0232d
darr,021d3
dhar,02965
dagger,02020
daleth,02138
darr,02193
dash,02010
dashv,022a3
dbkarow,0290f
dblac,002dd
dcaron,0010f
dcy,00434
dd,02146
ddagger,02021
ddarr,021ca
ddotseq,02a77
deg,000b0
delta,003b4
demptyv,029b1
dfisht,0297f
dfr,1d521
dharl,021c3
dharr,021c2
diam,022c4
diamond,022c4
diamondsuit,02666
diams,02666
die,000a8
digamma,003dd
disin,022f2
div,000f7
divide,000f7
divideontimes,022c7
divonx,022c7
djcy,00452
dlcorn,0231e
dlcrop,0230d
dollar,00024
dopf,1d555
dot,002d9
doteq,02250
doteqdot,02251
dotminus,02238
dotplus,02214
dotsquare,022a1
doublebarwedge,02306
downarrow,02193
downdownarrows,021ca
downharpoonleft,021c3
downharpoonright,021c2
drbkarow,02910
drcorn,0231f
drcrop,0230c
dscr,1d4b9
dscy,00455
dsol,029f6
dstrok,00111
dtdot,022f1
dtri,025bf
dtrif,025be
duarr,021f5
duhar,0296f
dwangle,029a6
dzcy,0045f
dzigrarr,027ff
eddot,02a77
edot,02251
eacute,000e9
easter,02a6e
ecaron,0011b
ecir,02256
ecirc,000ea
ecolon,02255
ecy,0044d
edot,00117
ee,02147
efdot,02252
efr,1d522
eg,02a9a
egrave,000e8
egs,02a96
egsdot,02a98
el,02a99
elinters,023e7
ell,02113
els,02a95
elsdot,02a97
emacr,00113
empty,02205
emptyset,02205
emptyv,02205
emsp,02003
emsp13,02004
emsp14,02005
eng,0014b
ensp,02002
eogon,00119
eopf,1d556
epar,022d5
eparsl,029e3
eplus,02a71
epsi,003b5
epsilon,003b5
epsiv,003f5
eqcirc,02256
eqcolon,02255
eqsim,02242
eqslantgtr,02a96
eqslantless,02a95
equals,0003d
equest,0225f
equiv,02261
equivdd,02a78
eqvparsl,029e5
erdot,02253
erarr,02971
escr,0212f
esdot,02250
esim,02242
eta,003b7
eth,000f0
euml,000eb
euro,020ac
excl,00021
exist,02203
expectation,02130
exponentiale,02147
fallingdotseq,02252
fcy,00444
female,02640
ffilig,0fb03
fflig,0fb00
ffllig,0fb04
ffr,1d523
filig,0fb01
fjlig,0006a
flat,0266d
fllig,0fb02
fltns,025b1
fnof,00192
fopf,1d557
forall,02200
fork,022d4
forkv,02ad9
fpartint,02a0d
frac12,000bd
frac13,02153
frac14,000bc
frac15,02155
frac16,02159
frac18,0215b
frac23,02154
frac25,02156
frac34,000be
frac35,02157
frac38,0215c
frac45,02158
frac56,0215a
frac58,0215d
frac78,0215e
frasl,02044
frown,02322
fscr,1d4bb
ge,02267
gel,02a8c
gacute,001f5
gamma,003b3
gammad,003dd
gap,02a86
gbreve,0011f
gcirc,0011d
gcy,00433
gdot,00121
ge,02265
gel,022db
geq,02265
geqq,02267
geqslant,02a7e
ges,02a7e
gescc,02aa9
gesdot,02a80
gesdoto,02a82
gesdotol,02a84
gesl,0fe00
gesles,02a94
gfr,1d524
gg,0226b
ggg,022d9
gimel,02137
gjcy,00453
gl,02277
gle,02a92
gla,02aa5
glj,02aa4
gne,02269
gnap,02a8a
gnapprox,02a8a
gne,02a88
gneq,02a88
gneqq,02269
gnsim,022e7
gopf,1d558
grave,00060
gscr,0210a
gsim,02273
gsime,02a8e
gsiml,02a90
gt,0003e
gtcc,02aa7
gtcir,02a7a
gtdot,022d7
gtlpar,02995
gtquest,02a7c
gtrapprox,02a86
gtrarr,02978
gtrdot,022d7
gtreqless,022db
gtreqqless,02a8c
gtrless,02277
gtrsim,02273
gvertneqq,0fe00
gvne,0fe00
harr,021d4
hairsp,0200a
half,000bd
hamilt,0210b
hardcy,0044a
harr,02194
harrcir,02948
harrw,021ad
hbar,0210f
hcirc,00125
hearts,02665
heartsuit,02665
hellip,02026
hercon,022b9
hfr,1d525
hksearow,02925
hkswarow,02926
hoarr,021ff
homtht,0223b
hookleftarrow,021a9
hookrightarrow,021aa
hopf,1d559
horbar,02015
hscr,1d4bd
hslash,0210f
hstrok,00127
hybull,02043
hyphen,02010
iacute,000ed
ic,02063
icirc,000ee
icy,00438
iecy,00435
iexcl,000a1
iff,021d4
ifr,1d526
igrave,000ec
ii,02148
iiiint,02a0c
iiint,0222d
iinfin,029dc
iiota,02129
ijlig,00133
imacr,0012b
image,02111
imagline,02110
imagpart,02111
imath,00131
imof,022b7
imped,001b5
in,02208
incare,02105
infin,0221e
infintie,029dd
inodot,00131
int,0222b
intcal,022ba
integers,02124
intercal,022ba
intlarhk,02a17
intprod,02a3c
iocy,00451
iogon,0012f
iopf,1d55a
iota,003b9
iprod,02a3c
iquest,000bf
iscr,1d4be
isin,02208
isine,022f9
isindot,022f5
isins,022f4
isinsv,022f3
isinv,02208
it,02062
itilde,00129
iukcy,00456
iuml,000ef
jcirc,00135
jcy,00439
jfr,1d527
jmath,00237
jopf,1d55b
jscr,1d4bf
jsercy,00458
jukcy,00454
kappa,003ba
kappav,003f0
kcedil,00137
kcy,0043a
kfr,1d528
kgreen,00138
khcy,00445
kjcy,0045c
kopf,1d55c
kscr,1d4c0
laarr,021da
larr,021d0
latail,0291b
lbarr,0290e
le,02266
leg,02a8b
lhar,02962
lacute,0013a
laemptyv,029b4
lagran,02112
lambda,003bb
lang,027e8
langd,02991
langle,027e8
lap,02a85
laquo,000ab
larr,02190
larrb,021e4
larrbfs,0291f
larrfs,0291d
larrhk,021a9
larrlp,021ab
larrpl,02939
larrsim,02973
larrtl,021a2
lat,02aab
latail,02919
late,02aad
lates,0fe00
lbarr,0290c
lbbrk,02772
lbrace,0007b
lbrack,0005b
lbrke,0298b
lbrksld,0298f
lbrkslu,0298d
lcaron,0013e
lcedil,0013c
lceil,02308
lcub,0007b
lcy,0043b
ldca,02936
ldquo,0201c
ldquor,0201e
ldrdhar,02967
ldrushar,0294b
ldsh,021b2
le,02264
leftarrow,02190
leftarrowtail,021a2
leftharpoondown,021bd
leftharpoonup,021bc
leftleftarrows,021c7
leftrightarrow,02194
leftrightarrows,021c6
leftrightharpoons,021cb
leftrightsquigarrow,021ad
leftthreetimes,022cb
leg,022da
leq,02264
leqq,02266
leqslant,02a7d
les,02a7d
lescc,02aa8
lesdot,02a7f
lesdoto,02a81
lesdotor,02a83
lesg,0fe00
lesges,02a93
lessapprox,02a85
lessdot,022d6
lesseqgtr,022da
lesseqqgtr,02a8b
lessgtr,02276
lesssim,02272
lfisht,0297c
lfloor,0230a
lfr,1d529
lg,02276
lge,02a91
lhard,021bd
lharu,021bc
lharul,0296a
lhblk,02584
ljcy,00459
ll,0226a
llarr,021c7
llcorner,0231e
llhard,0296b
lltri,025fa
lmidot,00140
lmoust,023b0
lmoustache,023b0
lne,02268
lnap,02a89
lnapprox,02a89
lne,02a87
lneq,02a87
lneqq,02268
lnsim,022e6
loang,027ec
loarr,021fd
lobrk,027e6
longleftarrow,027f5
longleftrightarrow,027f7
longmapsto,027fc
longrightarrow,027f6
looparrowleft,021ab
looparrowright,021ac
lopar,02985
lopf,1d55d
loplus,02a2d
lotimes,02a34
lowast,02217
lowbar,0005f
loz,025ca
lozenge,025ca
lozf,029eb
lpar,00028
lparlt,02993
lrarr,021c6
lrcorner,0231f
lrhar,021cb
lrhard,0296d
lrm,0200e
lrtri,022bf
lsaquo,02039
lscr,1d4c1
lsh,021b0
lsim,02272
lsime,02a8d
lsimg,02a8f
lsqb,0005b
lsquo,02018
lsquor,0201a
lstrok,00142
lt,0003c
ltcc,02aa6
ltcir,02a79
ltdot,022d6
lthree,022cb
ltimes,022c9
ltlarr,02976
ltquest,02a7b
ltrpar,02996
ltri,025c3
ltrie,022b4
ltrif,025c2
lurdshar,0294a
luruhar,02966
lvertneqq,0fe00
lvne,0fe00
mddot,0223a
macr,000af
male,02642
malt,02720
maltese,02720
map,021a6
mapsto,021a6
mapstodown,021a7
mapstoleft,021a4
mapstoup,021a5
marker,025ae
mcomma,02a29
mcy,0043c
mdash,02014
measuredangle,02221
mfr,1d52a
mho,02127
micro,000b5
mid,02223
midast,0002a
midcir,02af0
middot,000b7
minus,02212
minusb,0229f
minusd,02238
minusdu,02a2a
mlcp,02adb
mldr,02026
mnplus,02213
models,022a7
mopf,1d55e
mp,02213
mscr,1d4c2
mstpos,0223e
mu,003bc
multimap,022b8
mumap,022b8
ngg,00338
ngt,020d2
ngtv,00338
nleftarrow,021cd
nleftrightarrow,021ce
nll,00338
nlt,020d2
nltv,00338
nrightarrow,021cf
nvdash,022af
nvdash,022ae
nabla,02207
nacute,00144
nang,020d2
nap,02249
nape,00338
napid,00338
napos,00149
napprox,02249
natur,0266e
natural,0266e
naturals,02115
nbsp,000a0
nbump,00338
nbumpe,00338
ncap,02a43
ncaron,00148
ncedil,00146
ncong,02247
ncongdot,00338
ncup,02a42
ncy,0043d
ndash,02013
ne,02260
nearr,021d7
nearhk,02924
nearr,02197
nearrow,02197
nedot,00338
nequiv,02262
nesear,02928
nesim,00338
nexist,02204
nexists,02204
nfr,1d52b
nge,00338
nge,02271
ngeq,02271
ngeqq,00338
ngeqslant,00338
nges,00338
ngsim,02275
ngt,0226f
ngtr,0226f
nharr,021ce
nharr,021ae
nhpar,02af2
ni,0220b
nis,022fc
nisd,022fa
niv,0220b
njcy,0045a
nlarr,021cd
nle,00338
nlarr,0219a
nldr,02025
nle,02270
nleftarrow,0219a
nleftrightarrow,021ae
nleq,02270
nleqq,00338
nleqslant,00338
nles,00338
nless,0226e
nlsim,02274
nlt,0226e
nltri,022ea
nltrie,022ec
nmid,02224
nopf,1d55f
not,000ac
notin,02209
notine,00338
notindot,00338
notinva,02209
notinvb,022f7
notinvc,022f6
notni,0220c
notniva,0220c
notnivb,022fe
notnivc,022fd
npar,02226
nparallel,02226
nparsl,020e5
npart,00338
npolint,02a14
npr,02280
nprcue,022e0
npre,00338
nprec,02280
npreceq,00338
nrarr,021cf
nrarr,0219b
nrarrc,00338
nrarrw,00338
nrightarrow,0219b
nrtri,022eb
nrtrie,022ed
nsc,02281
nsccue,022e1
nsce,00338
nscr,1d4c3
nshortmid,02224
nshortparallel,02226
nsim,02241
nsime,02244
nsimeq,02244
nsmid,02224
nspar,02226
nsqsube,022e2
nsqsupe,022e3
nsub,02284
nsube,00338
nsube,02288
nsubset,020d2
nsubseteq,02288
nsubseteqq,00338
nsucc,02281
nsucceq,00338
nsup,02285
nsupe,00338
nsupe,02289
nsupset,020d2
nsupseteq,02289
nsupseteqq,00338
ntgl,02279
ntilde,000f1
ntlg,02278
ntriangleleft,022ea
ntrianglelefteq,022ec
ntriangleright,022eb
ntrianglerighteq,022ed
nu,003bd
num,00023
numero,02116
numsp,02007
nvdash,022ad
nvharr,02904
nvap,020d2
nvdash,022ac
nvge,020d2
nvgt,020d2
nvinfin,029de
nvlarr,02902
nvle,020d2
nvlt,020d2
nvltrie,020d2
nvrarr,02903
nvrtrie,020d2
nvsim,020d2
nwarr,021d6
nwarhk,02923
nwarr,02196
nwarrow,02196
nwnear,02927
os,024c8
oacute,000f3
oast,0229b
ocir,0229a
ocirc,000f4
ocy,0043e
odash,0229d
odblac,00151
odiv,02a38
odot,02299
odsold,029bc
oelig,00153
ofcir,029bf
ofr,1d52c
ogon,002db
ograve,000f2
ogt,029c1
ohbar,029b5
ohm,003a9
oint,0222e
olarr,021ba
olcir,029be
olcross,029bb
oline,0203e
olt,029c0
omacr,0014d
omega,003c9
omicron,003bf
omid,029b6
ominus,02296
oopf,1d560
opar,029b7
operp,029b9
oplus,02295
or,02228
orarr,021bb
ord,02a5d
order,02134
orderof,02134
ordf,000aa
ordm,000ba
origof,022b6
oror,02a56
orslope,02a57
orv,02a5b
oscr,02134
oslash,000f8
osol,02298
otilde,000f5
otimes,02297
otimesas,02a36
ouml,000f6
ovbar,0233d
par,02225
para,000b6
parallel,02225
parsim,02af3
parsl,02afd
part,02202
pcy,0043f
percnt,00025
period,0002e
permil,02030
perp,022a5
pertenk,02031
pfr,1d52d
phi,003c6
phiv,003d5
phmmat,02133
phone,0260e
pi,003c0
pitchfork,022d4
piv,003d6
planck,0210f
planckh,0210e
plankv,0210f
plus,0002b
plusacir,02a23
plusb,0229e
pluscir,02a22
plusdo,02214
plusdu,02a25
pluse,02a72
plusmn,000b1
plussim,02a26
plustwo,02a27
pm,000b1
pointint,02a15
popf,1d561
pound,000a3
pr,0227a
pre,02ab3
prap,02ab7
prcue,0227c
pre,02aaf
prec,0227a
precapprox,02ab7
preccurlyeq,0227c
preceq,02aaf
precnapprox,02ab9
precneqq,02ab5
precnsim,022e8
precsim,0227e
prime,02032
primes,02119
prne,02ab5
prnap,02ab9
prnsim,022e8
prod,0220f
profalar,0232e
profline,02312
profsurf,02313
prop,0221d
propto,0221d
prsim,0227e
prurel,022b0
